Variable,Universal Health Coverage,Unemployment,Quality of Water Services,Poverty,Population,Mean Years of Schooling,Life Expectancy,Global Rights Index,Expected Years of Schooling,Air Quality,Age Demographic,Global Peace Index
Portugal,84,6.6,99.912,0.46,10325.15,9.6,81,2,16.9,78.1,64.09602994,1.301
Romania,71,5.2,100,3.13,19119.88,11.3,74.2,4,14.2,39.2,65.04957948,1.64
Rwanda,54,1.6,60.415,74.36,13461.89,4.4,66.1,3,11.2,24.7,57.96709414,1.945
Senegal,49,3.7,84.905,57.21,16876.72,2.9,67.1,4,0,22.1,55.08195017,1.916
Serbia,71,11.8,95.296,0.19,6834.33,11.4,74.2,4,14.4,29.4,65.01127862,1.832
Singapore,86,3.6,100,0.99,5453.57,11.9,82.8,2,16.5,69.2,73.88088372,1.326
Slovak Republic,77,6.7,99.788,0.75,5447.25,12.9,74.9,2,14.5,50.9,66.8904891,1.499
South Africa,67,33.6,93.885,37.12,59392.25,11.4,62.3,3,13.6,22.2,65.35490697,2.283
South Korea,87,3.5,99.931,0.46,51744.88,12.5,83.7,5,16.5,62.9,71.45687956,1.779
Spain,86,14.7,99.926,1.03,47415.75,10.6,83,2,17.9,74,65.99020657,1.603
Sri Lanka,67,5.4,92.228,7.39,22156,10.8,76.4,4,14.1,32.5,65.62869566,2.02
Sweden,87,8.7,99.827,0.72,10415.81,12.6,83,1,19.4,94,62.18168705,1.564
Switzerland,87,5.3,100,0.19,8703.41,13.9,84,2,16.5,84.3,65.96897752,1.357
Tanzania,46,2.6,60.717,75.18,63588.33,6.4,66.2,4,9.2,33.2,53.27495842,2.001
Thailand,83,1.4,100,0.01,71601.1,8.7,78.7,5,15.9,34.3,69.68804657,2.098
Tunisia,70,16.8,97.543,2.82,12262.95,7.4,73.8,5,15.4,43.3,66.28362385,1.996
Turkey,79,13.4,97.014,0.57,84775.4,8.6,76,5,18.3,44.6,68.14074262,2.785
Uganda,50,2.9,55.855,61.52,45853.78,5.7,62.7,4,10.1,27.4,53.13119456,2.309
United Kingdom,88,4.5,93.928,0.33,67326.57,13.4,80.7,3,17.3,78.6,63.42269132,1.667
Uruguay,79,10.4,99.884,0.07,3426.26,9,75.4,2,16.8,63.6,65.10478847,1.795
United States,83,5.5,99.496,0.58,331893.74,13.7,77.2,4,16.3,77,65.07806981,2.44
Venezuela,70,6.4,93.686,78.02,28199.87,11.1,70.6,4,12.8,46.7,63.49113568,2.798
Viet Nam,70,2.2,96.884,3.96,97468.03,8.4,73.6,4,13,26.5,68.70171587,1.786
Zambia,55,13,65.412,76.8,19473.13,7.2,61.2,4,10.9,23.6,54.99870719,1.841
